,Date,Open,High,Low,Close,Volume
5127,2018-05-18,187.19,187.8102,186.13,186.31,18297728.0
5128,2018-05-21,188.0,189.27,186.9106,187.63,18400787.0
5129,2018-05-22,188.375,188.88,186.78,187.16,15240704.0
5130,2018-05-23,186.35,188.5,185.76,188.36,20058415.0
5131,2018-05-24,188.77,188.84,186.21,188.15,23233975.0
5132,2018-05-25,188.23,189.65,187.65,188.58,17460963.0
5133,2018-05-29,187.6,188.75,186.87,187.9,22514075.0
5134,2018-05-30,187.72,188.0,186.78,187.5,18690547.0
5135,2018-05-31,187.22,188.23,186.14,186.87,27482793.0
5136,2018-06-01,187.9912,190.26,187.75,190.24,23442510.0
5137,2018-06-04,191.635,193.42,191.35,191.83,26266174.0
5138,2018-06-05,193.065,193.94,192.36,193.31,21565963.0
5139,2018-06-06,193.63,194.08,191.92,193.98,20933619.0
5140,2018-06-07,194.14,194.2,192.335,193.46,21347180.0
5141,2018-06-08,191.17,192.0,189.77,191.7,26656799.0
5142,2018-06-11,191.35,191.97,190.21,191.23,18308460.0
5143,2018-06-12,191.385,192.611,191.15,192.28,16911141.0
5144,2018-06-13,192.42,192.88,190.44,190.7,21638393.0
5145,2018-06-14,191.55,191.57,190.22,190.8,21610074.0
5146,2018-06-15,190.03,190.16,188.26,188.84,61719160.0
5147,2018-06-18,187.88,189.22,187.2,188.74,18484865.0
5148,2018-06-19,185.14,186.33,183.45,185.69,33578455.0
5149,2018-06-20,186.35,187.2,185.73,186.5,20628701.0
5150,2018-06-21,187.25,188.35,184.94,185.46,25711898.0
5151,2018-06-22,186.12,186.15,184.7,184.92,27200447.0
5152,2018-06-25,183.4,184.92,180.73,182.17,31663096.0
5153,2018-06-26,182.99,186.53,182.54,184.43,24569201.0
5154,2018-06-27,185.2278,187.28,184.03,184.16,25285328.0
5155,2018-06-28,184.1,186.21,183.8,185.5,17365235.0
5156,2018-06-29,186.29,187.19,182.91,185.11,22737666.0
5157,2018-07-02,183.82,187.3,183.42,187.18,17731343.0
5158,2018-07-03,187.79,187.95,183.54,183.92,13954806.0
5159,2018-07-05,185.26,186.41,184.28,185.4,16604248.0
5160,2018-07-06,185.42,188.43400000000003,185.2,187.97,17485245.0
5161,2018-07-09,189.5,190.68,189.3,190.58,19756634.0
5162,2018-07-10,190.71,191.28,190.1801,190.35,15939149.0
5163,2018-07-11,188.5,189.7799,187.61,187.88,18831470.0
5164,2018-07-12,189.53,191.41,189.31,191.03,18041131.0
5165,2018-07-13,191.08,191.84,190.9,191.33,12519792.0
5166,2018-07-16,191.52,192.65,190.415,190.91,15043110.0
5167,2018-07-17,189.75,191.87,189.2,191.45,15534523.0
5168,2018-07-18,191.78,191.8,189.93,190.4,16393381.0
5169,2018-07-19,189.69,192.55,189.69,191.88,20286752.0
5170,2018-07-20,191.78,192.43,190.17,191.44,20706042.0
5171,2018-07-23,190.68,191.96,189.56,191.61,15989365.0
5172,2018-07-24,192.45,193.6601,192.05,193.0,18697898.0
5173,2018-07-25,193.0602,194.85,192.43,194.82,16826483.0
5174,2018-07-26,194.61,195.96,193.61,194.21,19075964.0
5175,2018-07-27,194.99,195.19,190.1,190.98,24023972.0
5176,2018-07-30,191.9,192.2,189.07,189.91,21029535.0
5177,2018-07-31,190.3,192.14,189.34,190.29,39373038.0
5178,2018-08-01,199.13,201.76,197.31,201.5,67935716.0
5179,2018-08-02,200.58,208.38,200.35,207.39,62404012.0
5180,2018-08-03,207.03,208.74,205.4803,207.99,33447396.0
5181,2018-08-06,208.0,209.25,207.07,209.07,25425387.0
5182,2018-08-07,209.32,209.5,206.76,207.11,25587387.0
5183,2018-08-08,206.05,207.81,204.52,207.25,22525487.0
5184,2018-08-09,207.28,209.78,207.2,208.88,23492626.0
